/home/gentlebear/miniforge3/envs/curiosity/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': True, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 2000, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Training from scratch.
  0%|                                                              | 0/2000 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.2492799758911133, logmi: 0.006526052951812744
Episode 206, logq_z: -1.569820761680603, logmi: -1.8089311197400093e-05
Episode 207, logq_z: -1.5467954874038696, logmi: -5.707773379981518e-05
Episode 208, logq_z: -1.5423593521118164, logmi: 9.346753358840942e-06
Episode 209, logq_z: -1.5623507499694824, logmi: -3.934931010007858e-05
Episode 210, logq_z: -1.5504542589187622, logmi: -2.871430478990078e-05
Episode 211, logq_z: -1.563096284866333, logmi: -8.319970220327377e-06
Episode 212, logq_z: -1.5674662590026855, logmi: -5.9901969507336617e-05
Episode 213, logq_z: -1.5220015048980713, logmi: -3.2546231523156166e-05
Episode 214, logq_z: -1.5674952268600464, logmi: -9.990530088543892e-06
Episode 215, logq_z: -1.5618466138839722, logmi: -2.451869659125805e-05
Episode 216, logq_z: -1.5285414457321167, logmi: -8.405046537518501e-05
Episode 217, logq_z: -1.5126665830612183, logmi: 7.703667506575584e-06
Episode 218, logq_z: -1.5606746673583984, logmi: -6.444216705858707e-05
Episode 219, logq_z: -1.558138132095337, logmi: -2.851104363799095e-05
Episode 220, logq_z: -1.513107180595398, logmi: -2.6953639462590218e-05
Episode 221, logq_z: -1.5245970487594604, logmi: -2.9099173843860626e-05
Episode 222, logq_z: -1.6139768362045288, logmi: -2.667936496436596e-05
Episode 223, logq_z: -1.6130270957946777, logmi: -4.487065598368645e-05
Episode 224, logq_z: -1.5570162534713745, logmi: -4.507368430495262e-06
Episode 225, logq_z: -1.5162924528121948, logmi: -3.346754238009453e-05
Episode 226, logq_z: -1.5442856550216675, logmi: 4.2780302464962006e-06
Episode 227, logq_z: -1.5668864250183105, logmi: -6.759306415915489e-06
Episode 228, logq_z: -1.5625241994857788, logmi: 5.559995770454407e-06
Episode 229, logq_z: -1.5066977739334106, logmi: -2.853991463780403e-05
Episode 230, logq_z: -1.5024778842926025, logmi: 6.590737029910088e-06
Episode 231, logq_z: -1.5500874519348145, logmi: -3.0477531254291534e-06
